發生地點,經度,緯度
桃園市蘆竹區中興路口 / 桃園市蘆竹區中興七街附近,121.261962,25.013106
新北市新莊區新北市新莊區光明路221149燈桿前,121.491111,25.059126
新竹縣新豐鄉竹2-1線0.5公里處,121.010533,24.913160
桃園市大園區橫峰里中山南路471號前0.0公尺附近,121.205174,25.056205
雲林縣麥寮鄉中興村工業路1500號前0.0公尺附近,120.219349,23.794209
苗栗縣三灣鄉栗縣三灣鄉124乙縣道1.7公里處,120.970384,24.643013
桃園市桃園區建國路口 / 桃園市桃園區延平路,121.314388,24.985619
花蓮縣吉安鄉中央路1段口 / 花蓮縣吉安鄉福興六街口,121.597223,23.994353
桃園市楊梅區楊湖路4段口 / 桃園市楊梅區上湖五路口,121.069675,24.911472
雲林縣水林鄉水南村東陽街(路燈編號090912旁),120.246252,23.568296
高雄市旗山區旗南二路 / 高雄市旗山區中寮一路,120.466123,22.848450
新竹縣湖口鄉光復北路口 / 新竹縣湖口鄉工業三路口,121.018059,24.866034
臺南市七股區大潭里省道臺17線口 / 臺南市七股區大潭里區道南30線口,120.133111,23.185111
桃園市蘆竹區海山路1段340號前0.0公尺,121.263319,25.097408
桃園市桃園區中山路827號前0.0公尺,121.288277,24.989660
雲林縣褒忠鄉新湖村新湖路26-4號前,120.289446,23.710711
花蓮縣新城鄉順安村北三棧119之1號前,121.633498,24.113543
高雄市鳥松區國道1號 364公里300.0公尺處南側向內側,120.335437,22.650917
新北市三重區新北市三重區忠孝路1段與自強路3段,121.490210,25.071872
臺東縣卑南鄉民生路口 / 臺東縣卑南鄉和平路口,121.100259,22.779518
高雄市美濃區廣興街86號前0.0公尺前,120.570200,22.917530
臺中市神岡區北庄里中山路1011號前0.0公尺,120.672238,24.255238
臺中市新社區中和里豐埔產業道路前0.0公尺,120.834061,24.172808
花蓮縣富里鄉台9線 298公里750.0公尺處,121.250129,23.184132
嘉義縣太保市新埤里台18線3公里200公尺處西向,120.344219,23.479904
桃園市中壢區高鐵南路5段東側 / 桃園市中壢區松仁路口,121.165330,24.963705
苗栗縣竹南鎮國道3號竹南段橋下的8號涵洞的西往東產業道路上,120.848546,24.684443
臺北市大安區和平東路1段 / 臺北市大安區新生南路2段,121.534777,25.026071
花蓮縣花蓮市華西路與193線道口附近,121.629768,24.024055
臺中市大里區永隆里大明路476號前0.0公尺,120.675865,24.114946
臺中市梧棲區中正里文化路二段117號前0.0公尺,120.530339,24.254969
臺中市北屯區水景里軍功路一段303號前0.0公尺,120.717372,24.167241
臺南市七股區大埕里大埕65號附近,120.150974,23.149554
屏東縣恆春鎮草埔路段,120.732865,22.015166
高雄市三民區建國一路 / 高雄市三民區民族一路,120.318832,22.640090
嘉義縣新港鄉大潭村164線與嘉85鄉道口,120.365414,23.555628
臺中市大里區新里里德芳路二段167號前0.0公尺,120.676383,24.103138
新竹縣新豐鄉建興路2段657號前0.0公尺,120.987113,24.897153
臺中市烏日區中山路三段1183號前0.0公尺,120.589140,24.113335
彰化縣永靖鄉港西村中山路1段708號前0.0公尺,120.544928,23.915293
臺南市後壁區長短樹里南80線頂長高幹33前,120.319442,23.360567
高雄市三民區鼎力路 / 高雄市三民區天祥一路,120.322184,22.666947
新北市五股區新北市五股區四維路與國道路3段,121.467370,25.073427
桃園市大園區許厝港路口 / 桃園市大園區潮音二路口,121.170082,25.077525
高雄市苓雅區中正一路 / 高雄市苓雅區高速公路西側便道,120.331817,22.628148
臺東縣臺東市中華路2段口 / 臺東縣臺東市衡陽路口,121.133513,22.742034
宜蘭縣頭城鎮環鎮東路二段與大武路口,121.831230,24.864267
臺北市大同區延平北路3段 / 臺北市大同區民權西路,121.511220,25.062788
臺北市信義區忠孝東路4段 / 臺北市信義區基隆路1段,121.564400,25.041240
臺東縣鹿野鄉永安村福鹿路138巷與福鹿路路口,121.122181,22.933894
高雄市大社區和平路1段 / 高雄市大社區和平路1段,120.361410,22.735629
桃園市大溪區康莊路3段附近 / 桃園市大溪區康莊路3段附近,121.272334,24.840346
臺中市南屯區楓樹里環中路五段 / 臺中市南屯區楓樹里精誠南路,120.640331,24.116975
